date,temp,surface_pressure,total_precipitation_sum,dewpoint_temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m
1950-01-02,23.861091868082724,100777.62874348958,8.678317904298183e-07,289.2652060190837,-0.7924728393554688,1.2047992944717407
1950-01-03,23.90461438496908,100887.66959635417,4.351138045421976e-07,290.4860331217448,-1.2053152720133464,1.2259560823440552
1950-01-04,24.236821746826195,101059.29264322917,1.0177492981711111e-05,290.8517265319824,-2.2295618057250977,-0.21740523974100748
1950-01-05,24.51048304239913,101213.05729166667,1.944601535797119e-05,290.5438480377197,-3.072585701942444,-1.4472448825836182
1950-01-06,24.686276372273767,101146.22900390625,5.513429641723633e-07,289.81031735738117,-2.8485596974690757,-2.6348530848821006
1950-01-07,24.17989565531417,101132.83349609375,0.0003497213123182519,290.46503321329754,-1.9040183623631795,-3.148947318394979
1950-01-08,23.969649887084984,101191.36458333333,0.002699040232982952,293.4085521697998,-2.398543039957682,-2.5519307454427085
1950-01-09,23.482982254028343,101188.18277994792,0.008326305451191729,294.07667605082196,-2.1107177734375,-2.58839480082194
1950-01-10,23.45245259602865,101234.82975260417,0.017854496836662292,294.7400207519531,-3.0379284620285034,-2.490474263827006
1950-01-11,24.171753819783532,101208.78092447917,0.0019879632664014935,294.43214416503906,-2.197909673055013,-1.7212769190470378
1950-01-12,24.28914858500167,101044.97037760417,0.00014841763891126902,292.9640013376872,-2.3682022094726562,-1.6384435494740803
1950-01-13,23.78712615966799,101014.66080729167,0.00036363236148417855,292.40321286519367,-2.2606422901153564,-0.30701414744059247
1950-01-14,23.311661656697595,101053.1435546875,1.1149048702918662e-05,291.16990025838214,-2.3319315910339355,-1.1007543802261353
1950-01-15,22.671644465128622,100960.60807291667,1.1920928955078125e-07,290.23113950093585,-1.4978795051574707,-1.0873144467671711
1950-01-16,23.392291005452478,100984.62955729167,0.0,290.80802090962726,-1.240498701731364,-0.30674060185750324
1950-01-17,23.72823867797854,101071.23649088542,4.351138045421976e-07,291.9639479319255,-1.4451961914698284,-1.026178002357483
1950-01-18,24.085675175984704,100989.81429036458,1.4889240219417843e-05,292.4995543162028,-1.2995819250742595,-1.1195297638575237
1950-01-19,25.146932220459007,101093.55289713542,0.001993161903556029,294.62524795532227,-2.3472777605056763,0.2068319320678711
1950-01-20,25.246181742350302,100990.62483723958,0.001231300829203974,294.8080310821533,-2.2182833353678384,1.2203741470972698
1950-01-21,24.664531326293968,100971.69205729167,0.0006850269859342006,293.71509806315106,-2.0083351929982505,1.0396292209625244
1950-01-22,23.419478988647484,100983.39241536458,4.327297176587308e-06,291.2712917327881,-2.2602655490239463,-0.07526437441507976
1950-01-23,23.558423614501976,101145.0810546875,2.9194354908668174e-05,290.7819938659668,-2.249436696370443,-0.4247850974400838
1950-01-24,24.576471583048544,101091.361328125,3.6948076740372926e-06,289.72369384765625,-2.7584711710611978,-0.628438393274943
1950-01-25,24.421413675944052,100933.35416666667,4.506565915107785e-06,289.7308184305827,-2.418359120686849,-0.08598577976226807
1950-01-26,23.99025942484542,100921.7958984375,0.0021302729828676092,292.57998847961426,-2.5238170623779297,-0.6664454936981201
1950-01-27,24.694289143880212,101015.89306640625,0.00020797252727788873,293.1332473754883,-2.798810680707296,-0.8199119170506796
1950-01-28,24.486493047078454,101163.033203125,3.8534402051482175e-06,291.89516576131183,-1.9416459401448567,-1.3871508836746216
1950-01-29,23.885755157470726,101143.01302083333,3.87416173452948e-06,291.71171442667645,-1.2232882181803386,-1.2143510182698567
1950-01-30,24.21735026041671,101035.61002604167,3.00106421491364e-06,291.12096913655597,-1.8127937316894531,-0.28003549575805664
1950-01-31,24.269483820597372,101019.66585286458,1.7205668996211898e-06,291.41157722473145,-2.292600631713867,0.12396947542826335
1950-02-01,24.235351181030296,100920.86295572917,1.751956091311513e-05,290.9427795410156,-1.873199462890625,0.9423444271087646
1950-02-02,25.016678746541345,100877.31966145833,2.9995196086929354e-06,291.5922743479411,-1.8128611246744792,0.6263064543406168
1950-02-03,24.55866139729818,100912.30794270833,1.2993812106287805e-06,291.58477210998535,-1.6738527218500774,0.4370053211847941
1950-02-04,24.305342610677087,100963.74039713542,2.7656554948407575e-06,291.1208019256592,-2.1740055878957114,0.12319437662760417
1950-02-05,24.424558258056663,100892.853515625,2.580879481683951e-06,290.53896141052246,-1.824371337890625,0.516461173693339
1950-02-06,24.57644106547042,100808.51253255208,4.857778499456344e-07,291.6242796579997,-1.1106460491816204,1.3876700003941853
1950-02-07,25.625735219319665,100847.9462890625,1.2099741866222757e-06,292.7566426595052,-0.5109007755915324,2.631082614262899
1950-02-08,26.953101730346702,100839.58561197917,3.6663157629845955e-06,293.65115292867023,-1.125116507212321,2.630508383115133
1950-02-09,27.219986216227255,100606.36409505208,5.301495150433766e-06,294.32862917582196,-0.5727289120356241,2.68540366490682
1950-02-10,27.23199869791671,100477.51920572917,0.00012569295392950153,295.6561679840088,-1.1314577261606853,3.48230771223704
1950-02-11,26.78923060099288,100575.99072265625,0.0008192896842906805,295.14692815144855,-1.9743454853693645,1.4296250740687053
1950-02-12,26.238324101765954,100834.47526041667,5.602836608886719e-06,292.8543898264567,-2.3715318044026694,-0.2695825894673665
1950-02-13,25.9643379211426,100816.16666666667,8.025169353231831e-05,292.8574930826823,-2.631054480870565,-1.1381397247314453
