,impute_rmse_temp,impute_mae_temp,impute_rmse_allfeat,impute_mae_allfeat,forecast_RMSE_degC,forecast_MAE_degC,forecast_R2,forecast_RMSE_scaled,forecast_MAE_scaled
Shared GAN,0.3107035458087921,0.23973309993743896,0.846739649772644,0.4415597915649414,1.5395206026576898,1.2129476439552294,0.6063475437737014,0.557959507466484,0.4396015674201225
Shared WGAN-GP,0.28960293531417847,0.22177724540233612,0.7864722013473511,0.38378793001174927,1.2308521167015116,0.9783375373331263,0.7483750458063172,0.44609058145326824,0.35457318955265593
Simple GAN,0.32554131746292114,0.24606646597385406,0.8567622900009155,0.44485747814178467,0.9538534190586765,0.7196093541270389,0.8488858138048543,0.3456995528182207,0.2608038373139415
