,impute_rmse_temp,impute_mae_temp,impute_rmse_allfeat,impute_mae_allfeat
GAN,0.31796256,0.24512708,0.8350241,0.43570027
WGAN-GP,0.27966926,0.21950847,0.78472257,0.37814206
