,mean,mean,mean,mean,mean,std,std,std,std,std
,temp_RMSE_degC,temp_MAE_degC,temp_R2,all_RMSE_scaled,all_MAE_scaled,temp_RMSE_degC,temp_MAE_degC,temp_R2,all_RMSE_scaled,all_MAE_scaled
model,,,,,,,,,,
Shared GAN (A),0.95373607,0.72850066,0.8479789,0.83119226,0.42086303,0.06613986,0.045099985,0.021403896,0.006046554,0.0011389133
Shared WGAN-GP (B),0.96906453,0.7454614,0.8431782,0.83172256,0.41523945,0.058218405,0.040904514,0.0185956,0.0072741504,0.0065856175
Simple GAN (C1),0.9042241,0.6938302,0.8637166,0.83677036,0.4314334,0.025672425,0.015202613,0.00771776,0.004598511,0.0080281785
Linear interpolation,0.6716283,0.4878442,0.9248524,0.78584087,0.31053364,,,,,
