,RMSE,MAE,R2,RMSE_scaled,MAE_scaled
Shared GAN,1.7635492910793562,1.4334835430353507,0.4834442972614531,0.6391529234131941,0.5195291120187464
Shared WGAN-GP,1.31995037985546,1.0536627091988762,0.7106275603316854,0.4783819473107149,0.38187285395564474
Simple GAN (forecasting only),0.9348412495959865,0.7025973850262298,0.8548497829263235,0.3388090826998221,0.2546382881916132
