model,bias (°C),std of imputed values (°C),slope of imputed on true
Shared GAN (A),-0.1935441493988037,2.0418431758880615,0.7755989512774449
Shared WGAN-GP (B),-0.24338234961032867,1.9772156476974487,0.7529094481129645
Simple GAN (C1),-0.17293132841587067,2.1524131298065186,0.8216539905640524
Linear interpolation,-0.09957177191972733,2.405557155609131,0.9452649832553283
